Category,Problem,Skin_or_Hair_Type,Symptoms,Ingredients,Preparation,Usage,Frequency,Precautions,text
Skincare,Pigmentation,Normal,Roughness; Dull Appearance,Egg Yolk; Honey,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Do not apply on open wounds,symptoms roughness dull appearance ingredients egg yolk honey preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency 2 times week precautions apply open wounds
Skincare,Sensitive Skin,Dry,Flaky Skin; Dull Appearance,Castor Oil; Potato Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Discontinue if irritation occurs,symptoms flaky skin dull appearance ingredients castor oil potato juice preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency daily precautions discontinue irritation occurs
Skincare,Dark Circles,Oily,Excess Oil; Uneven Tone,Lemon Juice; Multani Mitti,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do patch test before use,symptoms excess oil uneven tone ingredients lemon juice multani mitti preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency 3 times week precautions patch test use
Skincare,Whiteheads,All,Roughness; Uneven Tone,Lemon Juice; Coconut Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do not apply on open wounds,symptoms roughness uneven tone ingredients lemon juice coconut oil preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency 3 times week precautions apply open wounds
Skincare,Rashes,Combination,Flaky Skin; Dark Spots,Castor Oil; Potato Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Discontinue if irritation occurs,symptoms flaky skin dark spots ingredients castor oil potato juice preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency daily precautions discontinue irritation occurs
Skincare,Open Pores,Sensitive,Dry Texture; Itching,Fenugreek Seeds; Yogurt,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Discontinue if irritation occurs,symptoms dry texture itching ingredients fenugreek seeds yogurt preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency daily precautions discontinue irritation occurs
Skincare,Open Pores,Dry,Redness; Excess Oil,Banana; Lemon Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Discontinue if irritation occurs,symptoms redness excess oil ingredients banana lemon juice preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency daily precautions discontinue irritation occurs
Skincare,Pigmentation,Normal,Redness; Inflammation,Coconut Oil; Aloe Vera,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Avoid sun exposure after application,symptoms redness inflammation ingredients coconut oil aloe vera preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency 2 times week precautions avoid sun exposure application
Skincare,Open Pores,Normal,Dull Appearance; Breakage,Lemon Juice; Olive Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Discontinue if irritation occurs,symptoms dull appearance breakage ingredients lemon juice olive oil preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency 2 times week precautions discontinue irritation occurs
Skincare,Sensitive Skin,Dry,Roughness; Dull Appearance,Coconut Oil; Egg Yolk,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Avoid sun exposure after application,symptoms roughness dull appearance ingredients coconut oil egg yolk preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency daily precautions avoid sun exposure application
Skincare,Wrinkles,Sensitive,Dry Texture; Excess Oil,Gram Flour; Papaya,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Avoid sun exposure after application,symptoms dry texture excess oil ingredients gram flour papaya preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency alternate days precautions avoid sun exposure application
Skincare,Dry Skin,Dry,Roughness; Flaky Skin,Papaya; Multani Mitti,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Do patch test before use,symptoms roughness flaky skin ingredients papaya multani mitti preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency daily precautions patch test use
Skincare,Wrinkles,Sensitive,Itching; Roughness,Multani Mitti; Papaya,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do not apply on open wounds,symptoms itching roughness ingredients multani mitti papaya preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency alternate days precautions apply open wounds
Skincare,Whiteheads,Dry,Dull Appearance; Itching,Multani Mitti; Curd,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Avoid sun exposure after application,symptoms dull appearance itching ingredients multani mitti curd preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency 3 times week precautions avoid sun exposure application
Skincare,Wrinkles,Oily,Itching; Breakage,Papaya; Aloe Vera,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Avoid sun exposure after application,symptoms itching breakage ingredients papaya aloe vera preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency alternate days precautions avoid sun exposure application
Skincare,Pigmentation,Dry,Breakage; Excess Oil,Lemon Juice; Egg Yolk,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do patch test before use,symptoms breakage excess oil ingredients lemon juice egg yolk preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency weekly precautions patch test use
Skincare,Blackheads,Combination,Breakage; Dry Texture,Castor Oil; Rose Water,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Discontinue if irritation occurs,symptoms breakage dry texture ingredients castor oil rose water preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency 3 times week precautions discontinue irritation occurs
Skincare,Dark Circles,Normal,Excess Oil; Breakage,Egg Yolk; Rose Water,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Discontinue if irritation occurs,symptoms excess oil breakage ingredients egg yolk rose water preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency alternate days precautions discontinue irritation occurs
Skincare,Wrinkles,Normal,Excess Oil; Dark Spots,Coconut Oil; Curd,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Consult dermatologist if severe condition,symptoms excess oil dark spots ingredients coconut oil curd preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency alternate days precautions consult dermatologist severe condition
Skincare,Dry Skin,Normal,Roughness; Excess Oil,Multani Mitti; Gram Flour,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do not apply on open wounds,symptoms roughness excess oil ingredients multani mitti gram flour preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency alternate days precautions apply open wounds
Skincare,Blackheads,Normal,Excess Oil; Redness,Yogurt; Onion Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Discontinue if irritation occurs,symptoms excess oil redness ingredients yogurt onion juice preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency alternate days precautions discontinue irritation occurs
Skincare,Acne,Combination,Inflammation; Dry Texture,Green Tea; Olive Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Avoid sun exposure after application,symptoms inflammation dry texture ingredients green tea olive oil preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency 2 times week precautions avoid sun exposure application
Skincare,Dull Skin,Normal,Redness; Itching,Yogurt; Olive Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Consult dermatologist if severe condition,symptoms redness itching ingredients yogurt olive oil preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency weekly precautions consult dermatologist severe condition
